CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,crime_hour
PETTY THEFT,2025 Jan 01 09:40:00 PM,25-001140,THEFT,30X,2000 73RD AV,Oakland,CA,21
PETTY THEFT,2025 Jan 01 10:18:00 PM,25-000152,THEFT,32Y,10600 BEVERLY AV,Oakland,CA,22
ROBBERY,2025 Jan 01 11:10:00 PM,25-000226,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",33X,9700 INTERNATIONAL BLVD,Oakland,CA,23
ROBBERY,2025 Jan 01 11:20:00 PM,25-000149,ATTEMPTED ROBBERY-STRONG-ARM,22X,2100 MACARTHUR BLVD,Oakland,CA,23
GRAND THEFT,2025 Jan 02 12:00:00 AM,25-900176,GRAND THEFT,15X,300 NEWTON AV,Oakland,CA,0
PETTY THEFT,2025 Jan 02 12:00:00 AM,25-002903,THEFT,34X,9300 SUNNYSIDE ST,Oakland,CA,0
PETTY THEFT,2025 Jan 02 12:00:00 AM,25-000392,THEFT,29X,2900 55TH AV,Oakland,CA,0
PETTY THEFT,2025 Jan 02 02:11:00 AM,25-900263,THEFT,14Y,800 YORK ST,Oakland,CA,2
ROBBERY,2025 Jan 02 02:15:00 AM,25-000157,ROBBERY-KNIFE OR CUTTING INSTRUMENT,17Y,3000 PARK BLVD,Oakland,CA,2
ROBBERY,2025 Jan 02 02:15:00 AM,25-000157,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,17Y,3000 PARK BLVD,Oakland,CA,2
PETTY THEFT,2025 Jan 02 06:20:00 AM,25-913221,THEFT,"08X","00 FAIRMOUNT AV",Oakland,CA,6
PETTY THEFT,2025 Jan 02 07:00:00 AM,25-023636,THEFT,31Z,100 HUNTER AV,Oakland,CA,7
PETTY THEFT,2025 Jan 02 07:00:00 AM,25-000440,THEFT,"09X",200 W MACARTHUR BLVD,Oakland,CA,7
PETTY THEFT,2025 Jan 02 08:00:00 AM,25-001724,THEFT,"08X",200 29TH ST,Oakland,CA,8
GRAND THEFT,2025 Jan 02 08:36:00 AM,25-901777,GRAND THEFT,"06X",3400 SAN PABLO AV,Oakland,CA,8
